"City","Latitude","Longitude","Country"
"https://kracr.iiitd.edu.in/Location#yakouren","36.7348","4.4386","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#tigzirt","36.8931","4.1225","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bechloul","36.3167","4.0667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#charouine","29.0167","-0.2667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#birghbalou","36.2642","3.5836","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#sidinamane","36.7581","3.9839","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#sidibrahim","35.2606","-0.5675","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bordjokhriss","36.0833","3.9667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bennasseur","33.1107","6.441","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#souama","36.6417","4.3416","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bounouh","36.5","3.9333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#toudja","36.7586","4.8933","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#ifigha","36.6667","4.4167","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#ouledrached","36.2119","4.1106","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#seddoukoufella","36.6061","4.6389","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#abalessa","22.89","4.8472","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#boukhralfa","36.6144","5.0872","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#tifra","36.6664","4.6972","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#amalou","36.4778","4.6333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#beniounif","32.05","-1.25","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#pagopago","-14.274","-170.7046","https://kracr.iiitd.edu.in/Location#americansamoa"
"https://kracr.iiitd.edu.in/Location#andorralavella","42.5","1.5","https://kracr.iiitd.edu.in/Location#andorra"
"https://kracr.iiitd.edu.in/Location#encamp","42.5361","1.5828","https://kracr.iiitd.edu.in/Location#andorra"
"https://kracr.iiitd.edu.in/Location#lamassana","42.5444","1.5144","https://kracr.iiitd.edu.in/Location#andorra"
"https://kracr.iiitd.edu.in/Location#ordino","42.555","1.5331","https://kracr.iiitd.edu.in/Location#andorra"
"https://kracr.iiitd.edu.in/Location#canillo","42.5667","1.6","https://kracr.iiitd.edu.in/Location#andorra"
"https://kracr.iiitd.edu.in/Location#luanda","-8.8383","13.2344","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#cacuaco","-8.8053","13.2444","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#lubango","-14.9167","13.5","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#cabinda","-5.56","12.19","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#huambo","-12.7767","15.7347","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#malanje","-9.5333","16.35","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#benguela","-12.55","13.4167","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#belas","-8.9983","13.265","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#talatona","-8.9167","13.1833","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#lobito","-12.3597","13.5308","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#saurimo","-9.65","20.4","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#cubal","-13.1117","14.3672","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#luena","-11.7918","19.9062","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#cuito","-12.3833","16.9333","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#menongue","-14.6556","17.6842","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#vilateixeiradasilva","-12.0072","15.7792","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#sumbe","-11.2053","13.8417","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#gabela","-10.85","14.3667","https://kracr.iiitd.edu.in/Location#angola"
"https://kracr.iiitd.edu.in/Location#ndulo","-11.4833","15.8333","https://kracr.iiitd.edu.in/Location#angola"
